YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,4,1,0,90.89,25.9,0,0,1007,1.3,12,0.6
2020,4,1,1,93,25.5,0,0,1008,1.3,18,0.8
2020,4,1,2,94.18,25.3,0,0,1009,1.3,23,0.2
2020,4,1,3,93.91,25.3,0,0,1008,1.4,216,0.4
2020,4,1,4,94.11,25.2,0,0,1008,1.4,223,0.7
2020,4,1,5,94.55,25,0,0,1007,1.5,235,1
2020,4,1,6,60.01,20.8,27,11.393244,1006,1.6,243,1.2
2020,4,1,7,41.18,25.2,229,94.958972,1005,1.6,249,1.3
2020,4,1,8,27.25,29.8,467,190.083944,1004,1.7,252,1.5
2020,4,1,9,20.53,32.7,683,274.714894,1004,1.8,257,1.5
2020,4,1,10,18.11,34.3,846,338.029452,1004,1.8,262,1.2
2020,4,1,11,16.77,35.4,944,375.462784,1004,1.8,268,0.6
2020,4,1,12,16.07,36,961,381.26714,1004,1.9,283,0.8
2020,4,1,13,16.12,36,913,362.22362,1005,1.9,308,0.9
2020,4,1,14,16.96,35.5,792,314.87544,1005,2,329,0.9
2020,4,1,15,18.75,34.4,613,244.829748,1006,2,344,0.8
2020,4,1,16,23.67,32.6,395,158.94168,1006,2,356,0.7
2020,4,1,17,43.15,28.2,168,68.827584,1005,2,3,0.7
2020,4,1,18,49.85,25.7,0,0,1005,2,6,0.7
2020,4,1,19,48.61,25.5,0,0,1005,2,10,0.7
2020,4,1,20,46.98,25.4,0,0,1004,2.1,14,0.7
2020,4,1,21,47.47,25,0,0,1004,2.1,18,0.7
2020,4,1,22,49.46,24.3,0,0,1005,2.1,21,0.8
2020,4,1,23,52.09,23.3,0,0,1005,2.2,23,0.8
2020,4,2,0,55.2,22.3,0,0,1006,2.2,18,0.4
2020,4,2,1,57.87,21.4,0,0,1007,2.3,8,0.4
2020,4,2,2,59.81,20.7,0,0,1008,2.4,227,0.7
2020,4,2,3,60.74,20.3,0,0,1008,2.6,222,1
2020,4,2,4,60.92,20.1,0,0,1007,2.8,225,1.1
2020,4,2,5,59.82,20.2,0,0,1006,2.9,233,1.2
2020,4,2,6,61.84,22.1,27,11.334978,1005,3.1,241,1.4
2020,4,2,7,42.42,26.3,223,92.063766,1004,3.2,246,1.5
2020,4,2,8,32.51,30.6,450,182.5668,1003,3.4,247,1.5
2020,4,2,9,29.23,33.2,633,254.078604,1003,3.5,247,1.3
2020,4,2,10,27.58,34.8,782,311.808424,1003,3.5,242,0.9
2020,4,2,11,26.76,35.9,86,34.133916,1003,3.6,241,0.5
2020,4,2,12,26.77,36.4,808,320.029408,1004,3.6,237,0.7
2020,4,2,13,27.58,36.4,546,216.257496,1004,3.7,229,0.8
2020,4,2,14,29.18,35.9,720,285.77232,1005,3.7,225,0.8
2020,4,2,15,31.4,35.1,557,221.816338,1006,3.8,225,0.8
2020,4,2,16,36.63,33.6,355,142.25702,1006,3.9,228,0.7
2020,4,2,17,55.49,30.4,9,3.654324,1006,4,232,0.6
2020,4,2,18,61.83,28.3,0,0,1006,4.1,241,0.5
2020,4,2,19,64.16,27.4,0,0,1006,4.2,260,0.4
2020,4,2,20,67.56,26.6,0,0,1005,4.5,300,0.3
2020,4,2,21,71.51,26,0,0,1005,4.8,323,0.5
2020,4,2,22,74.67,25.6,0,0,1006,5.1,320,0.6
2020,4,2,23,76.08,25.5,0,0,1007,5.2,325,0.4
2020,4,3,0,76.04,25.4,0,0,1008,4.8,357,0.4
2020,4,3,1,77.15,25.1,0,0,1009,4.3,271,0.1
2020,4,3,2,78.5,24.9,0,0,1010,3.9,223,0.4
2020,4,3,3,80.12,24.4,0,0,1010,3.6,225,0.6
2020,4,3,4,85.58,23.6,0,0,1009,3.5,223,0.7
2020,4,3,5,88.79,23,0,0,1009,3.4,226,0.9
2020,4,3,6,87.98,23.5,11,4.59239,1007,3.3,229,1
2020,4,3,7,77.33,25.5,169,69.99473,1006,3.1,235,1.1
2020,4,3,8,63.4,28.1,389,159.433206,1005,3,242,1.2
2020,4,3,9,51.89,30.6,605,245.45092,1005,2.9,251,1.2
2020,4,3,10,43.59,32.7,777,312.523386,1005,2.8,258,1
2020,4,3,11,38.02,34.1,881,352.306614,1005,2.8,270,0.5
2020,4,3,12,34.66,34.9,917,365.485022,1006,2.8,292,0.6
2020,4,3,13,32.75,35.2,875,348.3095,1007,2.9,300,0.6
2020,4,3,14,32,35.1,759,302.259606,1007,3,293,0.6
2020,4,3,15,32.61,34.3,588,234.942456,1008,3,282,0.6
2020,4,3,16,36.36,32.7,378,152.038404,1008,3,273,0.6
2020,4,3,17,54.92,29.2,157,64.060396,1008,3,281,0.6
2020,4,3,18,66.41,26.4,0,0,1008,2.9,297,0.6
