YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,8,1,0,90.87,27.7,0,0,1002,6.9,266,0.3
2020,8,1,1,91.27,27.5,0,0,1002,7,250,0.5
2020,8,1,2,90.73,27.4,0,0,1002,7,242,0.5
2020,8,1,3,90.7,27.2,0,0,1002,7.1,233,0.5
2020,8,1,4,91.18,27,0,0,1002,7.1,219,0.5
2020,8,1,5,92.23,26.8,0,0,1001,7.2,213,0.5
2020,8,1,6,91.84,28.3,54,22.114188,1000,7.2,215,0.6
2020,8,1,7,77.13,31.1,197,79.760178,999,7.2,219,0.7
2020,8,1,8,69.99,32,506,204.11028,998,7.3,227,0.9
2020,8,1,9,66.05,32.5,688,276.9544,997,7.3,232,1
2020,8,1,10,62.83,33.5,837,335.54493,997,7.3,234,0.9
2020,8,1,11,60.41,34.3,862,344.422444,997,7.4,237,0.8
2020,8,1,12,59.15,34.8,812,323.770384,998,7.4,239,0.5
2020,8,1,13,58.7,35.1,745,296.68433,999,7.4,243,0.5
2020,8,1,14,61.6,34.6,750,299.298,999,7.4,244,0.4
2020,8,1,15,68.18,33.8,640,256.25088,1000,7.4,245,0.4
2020,8,1,16,75.03,33.1,453,181.903962,1000,7.3,249,0.4
2020,8,1,17,82.94,31.5,217,87.71357,1000,7.3,258,0.4
2020,8,1,18,91.06,29.8,49,19.944568,999,7.3,265,0.4
2020,8,1,19,93.46,29,0,0,999,7.3,242,0.2
2020,8,1,20,94.4,28.6,0,0,999,7.3,130,0.3
2020,8,1,21,94.91,28.3,0,0,998,7.2,123,0.3
2020,8,1,22,94.43,28.1,0,0,998,7.2,126,0.4
2020,8,1,23,93.34,28,0,0,998,7.2,150,0.3
2020,8,2,0,92.45,27.9,0,0,998,7.2,205,0.4
2020,8,2,1,92.13,27.8,0,0,999,7.3,230,0.5
2020,8,2,2,93.43,27.5,0,0,999,7.4,225,0.8
2020,8,2,3,94.5,27.2,0,0,999,7.5,216,0.9
2020,8,2,4,94.36,27.1,0,0,999,7.5,213,0.9
2020,8,2,5,94.44,27.3,0,0,998,7.5,211,0.9
2020,8,2,6,93.65,28.7,42,17.172036,997,7.5,211,0.9
2020,8,2,7,85.82,30.9,176,71.316256,996,7.4,213,0.9
2020,8,2,8,77.45,31.2,144,58.277952,995,7.4,218,1
2020,8,2,9,72.04,32.2,109,43.932232,995,7.3,227,0.9
2020,8,2,10,67.93,33.3,299,119.965378,994,7.2,234,0.9
2020,8,2,11,65.4,34,394,157.62364,994,7.2,236,0.8
2020,8,2,12,64.44,34.4,376,150.172896,995,7.2,240,0.4
2020,8,2,13,65.07,34.4,626,250.021896,995,7.2,246,0.4
2020,8,2,14,67.12,34.1,690,275.92686,996,7.2,251,0.4
2020,8,2,15,70.45,33.6,480,192.34752,997,7.2,254,0.5
2020,8,2,16,76.31,33.1,370,148.57498,996,7.2,259,0.4
2020,8,2,17,83.04,32.1,100,40.3214,996,7.3,268,0.4
2020,8,2,18,91.51,30.2,32,13.003776,996,7.3,286,0.4
2020,8,2,19,94.08,29.4,0,0,996,7.3,309,0.4
2020,8,2,20,94.35,29.1,0,0,995,7.3,334,0.5
2020,8,2,21,94.24,28.9,0,0,995,7.2,349,0.5
2020,8,2,22,93.87,28.7,0,0,995,7.1,350,0.5
2020,8,2,23,93.74,28.5,0,0,995,7,349,0.4
2020,8,3,0,93.9,28.3,0,0,995,6.9,348,0.4
2020,8,3,1,94.16,28.1,0,0,996,6.8,10,0.2
2020,8,3,2,93.82,28,0,0,995,6.7,104,0.2
