YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,12,1,0,81.62,16.5,0,0,1014,2.3,38,0.6
2020,12,1,1,81.76,16.3,0,0,1015,2.3,34,0.6
2020,12,1,2,81.93,16.1,0,0,1015,2.3,42,0.9
2020,12,1,3,82.16,15.9,0,0,1015,2.3,65,0.7
2020,12,1,4,82.76,15.6,0,0,1015,2.3,85,0.5
2020,12,1,5,83.21,15.3,0,0,1014,2.3,117,0.5
2020,12,1,6,87.06,16.7,0,0,1012,2.3,144,0.5
2020,12,1,7,83.54,19.1,102,43.328988,1011,2.3,163,0.5
2020,12,1,8,71.72,21.8,303,127.354536,1010,2.3,181,0.5
2020,12,1,9,64.54,24.7,488,202.763024,1010,2.3,203,0.4
2020,12,1,10,58.66,26.6,628,258.952032,1010,2.3,225,0.4
2020,12,1,11,54.39,27.7,706,289.825708,1010,2.3,254,0.7
2020,12,1,12,52.22,28.2,716,293.336608,1011,2.3,273,0.7
2020,12,1,13,52.26,28.2,657,269.165016,1012,2.3,292,0.8
2020,12,1,14,55.05,27.7,533,218.806094,1012,2.3,310,0.7
2020,12,1,15,59.93,27.7,357,146.554926,1012,2.3,331,0.6
2020,12,1,16,70.71,25.3,155,64.24781,1012,2.3,355,0.6
2020,12,1,17,74.86,22.7,0,0,1012,2.3,17,0.6
2020,12,1,18,77.3,21.7,0,0,1012,2.3,33,0.6
2020,12,1,19,77.3,21.3,0,0,1011,2.3,41,0.6
2020,12,1,20,77.69,20.9,0,0,1011,2.3,43,0.6
2020,12,1,21,78.62,20.5,0,0,1011,2.3,41,0.6
2020,12,1,22,80.81,19.9,0,0,1011,2.3,38,0.6
2020,12,1,23,83.92,19.1,0,0,1011,2.3,37,0.6
2020,12,2,0,86.64,18.4,0,0,1012,2.3,36,0.6
2020,12,2,1,89.03,17.8,0,0,1013,2.3,32,0.5
2020,12,2,2,91.1,17.3,0,0,1013,2.3,43,0.7
2020,12,2,3,92.17,16.9,0,0,1013,2.3,88,0.4
2020,12,2,4,92.44,16.6,0,0,1013,2.3,152,0.4
2020,12,2,5,92.74,16.3,0,0,1011,2.3,179,0.5
2020,12,2,6,92.18,16.2,0,0,1010,2.3,191,0.6
2020,12,2,7,86.9,18.6,92,39.157408,1009,2.3,201,0.7
2020,12,2,8,76.89,21.4,287,120.820112,1008,2.3,208,0.7
2020,12,2,9,67.03,24.3,484,201.422408,1008,2.2,212,0.6
2020,12,2,10,60.72,25.9,622,257.200732,1008,2.2,215,0.4
2020,12,2,11,57.65,26.6,700,288.6408,1009,2.2,230,0.7
2020,12,2,12,56.25,26.9,709,291.998814,1010,2.2,254,0.6
2020,12,2,13,56.64,26.7,648,267.091344,1010,2.2,292,0.5
2020,12,2,14,58.52,26.2,523,216.003184,1011,2.2,344,0.4
2020,12,2,15,65.16,25.2,349,144.719132,1011,2.2,21,0.5
2020,12,2,16,79.29,23.3,148,61.837656,1011,2.2,38,0.7
2020,12,2,17,79.94,21.3,0,0,1011,2.3,45,0.7
2020,12,2,18,79.02,20.9,0,0,1011,2.3,48,0.6
2020,12,2,19,77.62,20.9,0,0,1010,2.3,48,0.5
2020,12,2,20,79.98,20.3,0,0,1010,2.3,44,0.5
2020,12,2,21,83.7,19.4,0,0,1010,2.3,40,0.5
2020,12,2,22,87.85,18.4,0,0,1010,2.3,36,0.5
2020,12,2,23,91.58,17.5,0,0,1010,2.3,34,0.5
2020,12,3,0,94.69,16.8,0,0,1011,2.4,32,0.5
