YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,2,1,0,91.2,17.9,0,0,1013,1.4,33,0.7
2020,2,1,1,90.11,17.5,0,0,1013,1.4,36,1
2020,2,1,2,89.8,16.7,0,0,1014,1.4,43,1
2020,2,1,3,88.8,15.8,0,0,1014,1.4,69,0.5
2020,2,1,4,85.57,15.3,0,0,1014,1.4,136,0.2
2020,2,1,5,82.13,15.1,0,0,1013,1.5,208,0.4
2020,2,1,6,97.04,11.3,0,0,1012,1.5,228,0.6
2020,2,1,7,87.84,14.2,49,21.213472,1012,1.6,237,0.8
2020,2,1,8,79.75,16.9,247,105.826162,1011,1.6,242,0.9
2020,2,1,9,62.25,20.3,452,191.106504,1011,1.7,244,0.8
2020,2,1,10,49.18,22.7,622,260.504796,1011,1.6,244,0.4
2020,2,1,11,43.88,23.9,730,304.28298,1011,1.6,252,0.7
2020,2,1,12,42.93,24.2,738,307.250064,1012,1.6,270,0.8
2020,2,1,13,44.14,24,698,290.82868,1013,1.6,285,0.8
2020,2,1,14,47.09,23.4,593,247.670008,1013,1.6,304,0.7
2020,2,1,15,54.16,22.2,429,180.028992,1014,1.6,323,0.7
2020,2,1,16,71.98,19.9,237,100.361442,1014,1.6,339,0.7
2020,2,1,17,77.41,17.3,48,20.533536,1014,1.5,353,0.7
2020,2,1,18,78.38,16.6,0,0,1014,1.5,5,0.7
2020,2,1,19,79.17,16.1,0,0,1013,1.4,14,0.7
2020,2,1,20,80.6,15.5,0,0,1013,1.4,23,0.7
2020,2,1,21,81.54,15,0,0,1013,1.3,20,0.7
2020,2,1,22,82.5,14.5,0,0,1013,1.3,14,0.7
2020,2,1,23,83.61,14,0,0,1013,1.3,19,0.7
2020,2,2,0,84.55,13.6,0,0,1014,1.3,24,0.7
2020,2,2,1,83.79,13.6,0,0,1015,1.4,20,0.4
2020,2,2,2,84.7,13.3,0,0,1015,1.4,4,0.2
2020,2,2,3,85.65,13,0,0,1016,1.5,213,0.4
2020,2,2,4,85.23,12.9,0,0,1016,1.5,214,0.7
2020,2,2,5,86.75,12.4,0,0,1015,1.5,220,1
2020,2,2,6,87.9,12,0,0,1014,1.5,225,1.3
2020,2,2,7,85.89,14,35,15.1641,1013,1.5,226,1.5
2020,2,2,8,68.21,17.2,224,95.860352,1013,1.5,228,1.5
2020,2,2,9,53.98,19.8,420,177.92544,1013,1.5,228,1.3
2020,2,2,10,48.1,21.2,582,245.201256,1013,1.5,226,0.6
2020,2,2,11,45.49,22,687,288.52626,1014,1.5,235,0.7
2020,2,2,12,44.54,22.3,722,302.866004,1015,1.4,252,0.8
2020,2,2,13,44.87,22.2,693,290.816064,1015,1.4,278,0.7
2020,2,2,14,47.03,21.6,592,249.021248,1016,1.4,309,0.7
2020,2,2,15,52.13,20.6,435,183.70224,1016,1.4,336,0.7
2020,2,2,16,68.1,18.4,237,100.951572,1016,1.4,1,0.7
2020,2,2,17,72.97,16,47,20.20718,1016,1.3,24,0.7
2020,2,2,18,72.33,15.5,0,0,1015,1.3,36,0.8
2020,2,2,19,71.66,15.2,0,0,1015,1.3,38,0.8
2020,2,2,20,72.92,14.6,0,0,1014,1.3,35,0.9
2020,2,2,21,74.33,14,0,0,1014,1.3,31,0.9
2020,2,2,22,74.88,13.6,0,0,1014,1.4,22,0.9
2020,2,2,23,75.8,13.2,0,0,1015,1.4,20,0.9
2020,2,3,0,78.4,12.5,0,0,1015,1.4,21,0.8
2020,2,3,1,81.18,11.8,0,0,1016,1.4,19,0.7
2020,2,3,2,83.2,11.2,0,0,1017,1.4,28,0.7
2020,2,3,3,83.55,10.9,0,0,1017,1.4,94,0.3
2020,2,3,4,83.71,10.6,0,0,1016,1.4,148,0.4
2020,2,3,5,83.94,10.3,0,0,1015,1.5,168,0.4
2020,2,3,6,83.98,10.2,0,0,1014,1.5,187,0.5
2020,2,3,7,78.18,12.8,42,18.280584,1013,1.5,206,0.6
2020,2,3,8,64.13,15.9,233,100.214698,1012,1.6,213,0.8
2020,2,3,9,51.13,19,434,184.43264,1012,1.6,219,0.9
2020,2,3,10,45.48,20.6,600,253.3824,1012,1.6,220,0.6
2020,2,3,11,42.15,21.8,707,297.160584,1013,1.5,230,0.7
2020,2,3,12,40.75,22.5,754,316.0391,1013,1.5,245,0.8
2020,2,3,13,41.16,22.6,723,302.925432,1014,1.5,264,0.8
2020,2,3,14,43.42,22.1,619,259.864866,1014,1.5,292,0.7
2020,2,3,15,49.37,21,450,189.738,1014,1.5,337,0.6
2020,2,3,16,66.87,18.7,254,108.066332,1014,1.4,26,0.8
2020,2,3,17,75.43,15.4,59,25.425224,1014,1.4,44,0.9
2020,2,3,18,75.8,14.6,0,0,1014,1.4,49,0.9
2020,2,3,19,73.98,14.5,0,0,1013,1.4,48,0.8
2020,2,3,20,71.67,14.6,0,0,1013,1.4,45,0.9
2020,2,3,21,71.52,14.4,0,0,1012,1.4,39,0.9
2020,2,3,22,76.03,13.3,0,0,1012,1.4,31,1
2020,2,3,23,80.7,12.2,0,0,1013,1.3,26,1
