YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,66.11,14.4,0,0,1016,2.6,36,1.4
2020,1,1,1,67.22,13.9,0,0,1017,2.6,34,1.6
2020,1,1,2,68.38,13.4,0,0,1018,2.7,34,1.4
2020,1,1,3,69.57,12.9,0,0,1019,2.8,37,1.3
2020,1,1,4,71.78,12.2,0,0,1019,2.9,42,1.2
2020,1,1,5,72.51,11.8,0,0,1018,3,49,1
2020,1,1,6,83.38,15.1,0,0,1016,3,60,0.9
2020,1,1,7,80.47,16,6,2.57964,1015,3,73,0.8
2020,1,1,8,76.61,17.6,24,10.254816,1015,3,82,0.6
2020,1,1,9,71.86,19.6,139,58.930996,1015,3,91,0.4
2020,1,1,10,63.92,21.9,259,108.817814,1015,3,96,0.3
2020,1,1,11,58.75,23.6,347,144.811428,1015,3.1,38,0.4
2020,1,1,12,55.82,24.8,477,198.113364,1016,3.1,29,0.6
2020,1,1,13,55.59,25.3,117,48.496734,1017,3.1,36,0.7
2020,1,1,14,59.27,25.2,418,173.331224,1017,3.1,41,0.7
2020,1,1,15,64.97,25,201,83.415,1018,3.1,41,0.7
2020,1,1,16,71.23,23.2,50,20.8994,1017,3.1,37,0.6
2020,1,1,17,69.46,21.7,11,4.625258,1017,3.1,39,0.6
2020,1,1,18,71.36,20.9,0,0,1017,3.2,40,0.5
2020,1,1,19,76.03,19.9,0,0,1017,3.2,38,0.5
2020,1,1,20,80.62,19,0,0,1016,3.2,36,0.5
2020,1,1,21,83.4,18.4,0,0,1016,3.2,34,0.6
2020,1,1,22,85.47,17.9,0,0,1016,3.2,36,0.6
2020,1,1,23,86.47,17.6,0,0,1017,3.1,36,0.7
2020,1,2,0,87.51,17.3,0,0,1017,3,35,0.9
2020,1,2,1,87.87,17.1,0,0,1018,2.9,30,1.2
2020,1,2,2,89.13,16.7,0,0,1019,2.8,31,1.3
2020,1,2,3,89.72,16.4,0,0,1019,2.7,45,1.2
2020,1,2,4,90.13,16.2,0,0,1019,2.7,60,1
2020,1,2,5,90.27,16.1,0,0,1017,2.8,79,0.8
2020,1,2,6,90.54,15.9,0,0,1016,2.9,94,0.6
2020,1,2,7,86.19,17,41,17.55948,1015,3.1,104,0.4
2020,1,2,8,80.81,18.8,193,82.081356,1015,3.1,128,0.1
2020,1,2,9,72.08,21.3,342,144.030564,1015,3.2,186,0.2
2020,1,2,10,63.92,23.5,312,130.25688,1015,3.2,189,0.3
2020,1,2,11,58.13,25.2,460,190.74728,1016,3.1,164,0.4
2020,1,2,12,56.27,26.1,580,239.64092,1016,3.1,118,0.4
2020,1,2,13,55.83,26.4,384,158.467584,1017,3.1,74,0.6
2020,1,2,14,57.17,26.2,369,152.399952,1017,3.1,46,0.8
2020,1,2,15,62.88,25.9,270,111.64662,1017,3.1,43,0.8
2020,1,2,16,69.77,24.1,77,32.070038,1016,3.1,37,0.8
2020,1,2,17,66.66,22.7,8,3.350544,1016,3.2,32,0.8
2020,1,2,18,67.52,22.2,0,0,1015,3.2,33,0.8
2020,1,2,19,70.14,21.3,0,0,1015,3.2,35,0.9
2020,1,2,20,75.73,20,0,0,1014,3.2,34,1
2020,1,2,21,81.74,18.6,0,0,1014,3.2,29,1.1
2020,1,2,22,84.52,17.8,0,0,1014,3.3,25,1.2
2020,1,2,23,86.11,17.4,0,0,1014,3.4,24,1.1
2020,1,3,0,87.2,17.1,0,0,1015,3.6,28,0.8
2020,1,3,1,87.66,16.9,0,0,1016,3.8,43,0.7
2020,1,3,2,87.46,16.8,0,0,1017,3.8,53,0.9
2020,1,3,3,87.71,16.6,0,0,1018,3.9,69,0.9
2020,1,3,4,87.4,16.5,0,0,1017,4,79,0.9
2020,1,3,5,87.52,16.4,0,0,1015,4,74,0.9
2020,1,3,6,88.74,16.3,0,0,1013,3.9,72,1
2020,1,3,7,87.74,16.9,4,1.713784,1012,3.9,76,1
2020,1,3,8,85.6,17.9,9,3.841074,1011,3.9,76,0.9
2020,1,3,9,83.91,19.2,128,54.352384,1011,4,71,0.4
2020,1,3,10,81.33,20.1,31,13.117154,1011,4.1,353,0.2
2020,1,3,11,77.92,21,40,16.8656,1012,4.1,277,0.2
2020,1,3,12,76.47,21.4,66,27.784416,1012,4,84,0.2
2020,1,3,13,76.86,21.5,57,23.98617,1012,3.9,58,0.4
2020,1,3,14,78.89,21.4,55,23.15368,1013,3.9,28,0.4
2020,1,3,15,85.78,20.7,205,86.53829,1013,3.9,23,0.3
2020,1,3,16,90.14,19.6,52,22.046128,1013,3.9,64,0.2
2020,1,3,17,91.35,18.8,8,3.402336,1012,3.7,170,0.4
2020,1,3,18,89.33,18.6,0,0,1012,3.6,205,0.4
2020,1,3,19,90.21,18.1,0,0,1012,3.5,209,0.4
2020,1,3,20,90.61,17.8,0,0,1012,3.2,217,0.3
2020,1,3,21,91.27,17.6,0,0,1011,3,238,0.3
2020,1,3,22,90.69,17.7,0,0,1011,2.9,224,0.4
2020,1,3,23,91.8,17.1,0,0,1012,2.7,223,0.4
2020,1,4,0,93.8,16.4,0,0,1013,2.5,223,0.4
2020,1,4,1,93.25,16.3,0,0,1013,2.3,216,0.5
2020,1,4,2,93.63,16,0,0,1014,2.2,212,0.7
2020,1,4,3,93.16,15.8,0,0,1014,2.2,221,0.8
2020,1,4,4,93.13,15.3,0,0,1014,2.2,223,0.8
2020,1,4,5,92.72,15.1,0,0,1013,2.2,220,1
2020,1,4,6,93.03,14.9,0,0,1012,2.3,217,1.1
2020,1,4,7,92.7,16.4,4,1.717104,1010,2.3,215,1
2020,1,4,8,86.9,18.9,16,6.802016,1010,2.3,219,0.9
2020,1,4,9,70.45,21.5,33,13.88673,1010,2.3,222,0.8
2020,1,4,10,62.29,21.7,314,132.030092,1010,2.3,225,0.5
2020,1,4,11,58.3,22.6,204,85.472736,1010,2.2,238,0.7
2020,1,4,12,56.97,23,502,209.99664,1011,2.1,249,0.7
2020,1,4,13,56.94,23.1,659,275.563486,1011,2.1,259,0.7
2020,1,4,14,58.62,22.8,551,230.677252,1012,2.1,271,0.6
2020,1,4,15,64.06,22,381,160.01238,1012,2.1,286,0.5
2020,1,4,16,78.13,20.3,187,79.063974,1012,2.1,337,0.5
2020,1,4,17,78.43,18.4,8,3.407648,1011,2.2,8,0.6
2020,1,4,18,79.78,17.8,0,0,1011,2.2,24,0.6
2020,1,4,19,81.44,17.3,0,0,1010,2.2,36,0.6
2020,1,4,20,83.13,16.9,0,0,1010,2.2,47,0.4
