YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,7,1,0,95.75,26.4,0,0,1001,7.4,199,0.8
2020,7,1,1,95.34,26.3,0,0,1002,7.4,200,1
2020,7,1,2,94.97,26.2,0,0,1002,7.4,203,1.2
2020,7,1,3,94.82,26,0,0,1002,7.4,201,1.4
2020,7,1,4,93.99,25.9,0,0,1002,7.5,200,1.5
2020,7,1,5,94.3,25.9,0,0,1001,7.5,202,1.6
2020,7,1,6,94.76,27.2,7,2.879436,1000,7.5,207,1.7
2020,7,1,7,92.18,27.9,221,90.651106,1000,7.5,212,1.7
2020,7,1,8,87.33,28.6,32,13.088768,999,7.5,214,1.7
2020,7,1,9,82.12,29.2,87,35.498436,998,7.5,216,1.6
2020,7,1,10,77.75,29.9,131,53.299446,998,7.5,217,1.3
2020,7,1,11,74.16,30.7,307,124.500166,998,7.4,218,1
2020,7,1,12,72.42,31.2,509,205.996372,999,7.4,220,0.5
2020,7,1,13,72.04,31.5,538,217.46498,999,7.5,221,0.4
2020,7,1,14,72.63,31.5,422,170.57662,1000,7.5,217,0.4
2020,7,1,15,74.59,31.2,211,85.393388,1001,7.5,215,0.3
2020,7,1,16,78.84,30.6,423,171.612792,1001,7.5,211,0.3
2020,7,1,17,85.98,29.7,265,107.90747,1001,7.4,203,0.3
2020,7,1,18,92.95,28.5,76,31.09844,1000,7.4,196,0.3
2020,7,1,19,95.07,27.8,0,0,1000,7.3,197,0.3
2020,7,1,20,95.73,27.5,0,0,999,7.3,194,0.4
2020,7,1,21,95.9,27.3,0,0,999,7.3,188,0.3
2020,7,1,22,96.19,27.1,0,0,999,7.3,188,0.3
2020,7,1,23,96.09,27,0,0,1000,7.3,184,0.3
2020,7,2,0,95.97,26.9,0,0,1000,7.3,175,0.6
2020,7,2,1,95.79,26.8,0,0,1001,7.4,191,0.9
2020,7,2,2,95.82,26.6,0,0,1001,7.4,201,1.1
2020,7,2,3,95.57,26.5,0,0,1001,7.5,205,1.2
2020,7,2,4,95.4,26.4,0,0,1001,7.6,210,1.3
2020,7,2,5,95.35,26.6,0,0,1001,7.7,212,1.3
2020,7,2,6,94.75,27.4,27,11.097432,1000,7.7,214,1.2
2020,7,2,7,91.75,28.6,112,45.810688,999,7.8,216,1.1
2020,7,2,8,84.48,29.6,227,92.471628,999,7.8,217,1
2020,7,2,9,79.87,30.1,511,207.738874,998,7.8,213,0.9
2020,7,2,10,78.74,30.3,569,231.128938,998,7.7,204,0.7
2020,7,2,11,78.79,30.3,274,111.299348,998,7.7,199,0.6
2020,7,2,12,78.9,30.2,557,226.346976,999,7.7,189,0.4
2020,7,2,13,79.38,30,322,130.9574,999,7.7,164,0.4
2020,7,2,14,80.34,29.8,258,105.014256,999,7.7,134,0.3
