YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,6,1,0,94.14,28.6,0,0,1007,5.4,207,0.4
2020,6,1,1,93.63,28.2,0,0,1007,5.4,222,0.9
2020,6,1,2,94.18,27.8,0,0,1008,5.4,224,1.1
2020,6,1,3,93.61,27.6,0,0,1008,5.5,220,1.3
2020,6,1,4,92.54,27.5,0,0,1008,5.6,218,1.3
2020,6,1,5,93.43,27.7,0,0,1007,5.7,217,1.4
2020,6,1,6,92.05,26.6,7,2.886408,1006,5.7,216,1.5
2020,6,1,7,85.39,28.2,16,6.555008,1005,5.8,216,1.4
2020,6,1,8,77.82,29.1,32,13.062208,1005,5.8,216,1.4
2020,6,1,9,72.18,30.4,92,37.355312,1004,5.7,213,1.3
2020,6,1,10,68.8,31.2,285,115.34178,1004,5.6,207,1.2
2020,6,1,11,67.16,31.5,641,259.09861,1004,5.4,204,0.9
2020,6,1,12,67.83,31.3,679,274.684018,1004,5.3,202,0.6
2020,6,1,13,70.86,30.7,812,329.296856,1005,5.2,199,0.6
2020,6,1,14,75.26,30.1,546,221.967564,1005,5.2,196,0.6
2020,6,1,15,79.43,29.6,455,185.35062,1006,5.3,196,0.6
2020,6,1,16,83.13,29.1,25,10.20485,1006,5.3,200,0.6
2020,6,1,17,88.58,28.3,35,14.33327,1006,5.3,202,0.6
2020,6,1,18,92.99,27.1,32,13.168448,1005,5.2,202,0.5
2020,6,1,19,92.62,26.7,0,0,1005,5.2,199,0.5
2020,6,1,20,92.24,26.5,0,0,1004,5.3,190,0.5
2020,6,1,21,92.56,26.3,0,0,1004,5.4,187,0.4
2020,6,1,22,92.95,26.1,0,0,1004,5.5,192,0.4
2020,6,1,23,93.6,25.8,0,0,1005,5.6,198,0.4
2020,6,2,0,93.92,25.5,0,0,1005,5.7,213,0.7
2020,6,2,1,94.22,25.2,0,0,1006,5.8,218,1
2020,6,2,2,94.04,25,0,0,1007,5.8,219,1.3
2020,6,2,3,94.24,24.8,0,0,1007,5.8,214,1.5
2020,6,2,4,94.15,24.7,0,0,1006,5.8,212,1.6
2020,6,2,5,94.92,24.9,0,0,1006,5.8,212,1.5
2020,6,2,6,94.37,26,8,3.30672,1005,5.7,213,1.5
2020,6,2,7,90.16,27.3,17,6.990094,1004,5.7,215,1.4
2020,6,2,8,80.69,28.2,33,13.519704,1003,5.6,216,1.2
2020,6,2,9,75.66,29.1,76,31.022744,1003,5.7,216,1
2020,6,2,10,72.79,29.8,204,83.034528,1003,5.6,214,0.9
2020,6,2,11,71.75,30.2,622,252.760896,1003,5.6,213,0.6
2020,6,2,12,71.8,30.4,533,216.417188,1003,5.5,212,0.4
2020,6,2,13,74.12,30.1,815,331.32521,1004,5.4,209,0.5
2020,6,2,14,77.57,29.7,658,267.936284,1004,5.3,203,0.5
2020,6,2,15,82.45,29.2,549,224.007372,1004,5.3,197,0.5
2020,6,2,16,87.06,28.7,419,171.311502,1005,5.3,199,0.5
2020,6,2,17,91.62,28,235,96.3547,1004,5.3,202,0.5
2020,6,2,18,94.12,27.1,52,21.398728,1004,5.3,204,0.6
2020,6,2,19,93.28,26.7,0,0,1004,5.3,207,0.5
2020,6,2,20,93.43,26.4,0,0,1004,5.4,207,0.4
2020,6,2,21,93.4,26.2,0,0,1004,5.5,204,0.5
2020,6,2,22,94.53,25.8,0,0,1004,5.6,204,0.6
2020,6,2,23,94.73,25.5,0,0,1005,5.7,205,0.6
2020,6,3,0,95.55,25.1,0,0,1006,5.7,200,0.8
2020,6,3,1,95.69,24.9,0,0,1006,5.7,192,0.9
2020,6,3,2,95.58,24.8,0,0,1007,5.6,185,0.9
2020,6,3,3,95.5,24.7,0,0,1007,5.6,189,0.9
2020,6,3,4,95.68,24.6,0,0,1006,5.6,196,1
2020,6,3,5,95.25,24.7,0,0,1006,5.6,200,1.1
2020,6,3,6,94.97,25.3,111,46.009722,1005,5.7,205,1
2020,6,3,7,93.09,26.1,185,76.43719,1004,5.7,211,0.9
2020,6,3,8,81.26,28.2,91,37.281608,1003,5.7,215,0.9
2020,6,3,9,68.54,29.9,235,95.61351,1003,5.7,216,0.9
2020,6,3,10,64.68,30.3,625,253.87625,1002,5.7,214,0.9
2020,6,3,11,62.93,30.5,87,35.31069,1002,5.7,213,0.6
2020,6,3,12,63.88,30.5,416,168.84192,1003,5.7,213,0.4
2020,6,3,13,65.55,30.8,804,325.919088,1003,5.7,202,0.4
2020,6,3,14,69.11,30.3,131,53.212462,1004,5.7,176,0.4
2020,6,3,15,74.48,29.5,563,229.43939,1004,5.6,161,0.4
2020,6,3,16,80.57,28.5,308,126.03052,1005,5.6,136,0.3
2020,6,3,17,86.96,27.5,125,51.35625,1005,5.6,118,0.3
2020,6,3,18,90.41,26.7,30,12.36534,1004,5.6,109,0.3
2020,6,3,19,89.1,26.4,0,0,1004,5.6,108,0.4
2020,6,3,20,89.79,26.2,0,0,1004,5.7,114,0.4
2020,6,3,21,90.72,25.9,0,0,1004,5.7,122,0.4
2020,6,3,22,91.17,25.6,0,0,1004,5.7,128,0.4
2020,6,3,23,91.02,25.4,0,0,1004,5.8,134,0.4
