YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,3,1,0,90.92,23.2,0,0,1010,2.3,40,0.7
2020,3,1,1,91.02,23,0,0,1011,2.3,36,1
2020,3,1,2,91.23,22.7,0,0,1011,2.3,54,0.7
2020,3,1,3,92,22.3,0,0,1011,2.3,102,0.4
2020,3,1,4,93.88,21.9,0,0,1011,2.3,176,0.4
2020,3,1,5,92.94,22.1,0,0,1010,2.3,218,0.6
2020,3,1,6,80.71,16.8,0,0,1008,2.4,236,0.9
2020,3,1,7,66.33,20.8,120,50.63664,1007,2.4,245,1.1
2020,3,1,8,49.01,25.3,345,143.00319,1007,2.4,251,1.2
2020,3,1,9,39.39,28.5,566,231.60154,1007,2.4,257,1.1
2020,3,1,10,33.97,30.3,739,300.183278,1007,2.4,264,0.8
2020,3,1,11,31.62,31.2,850,344.0018,1007,2.4,275,0.6
2020,3,1,12,30.63,31.6,886,357.982984,1008,2.4,291,0.8
2020,3,1,13,31.05,31.4,848,342.910848,1009,2.5,309,0.8
2020,3,1,14,31.93,30.9,739,299.447234,1009,2.5,327,0.7
2020,3,1,15,34.97,29.7,565,230.06687,1009,2.6,346,0.6
2020,3,1,16,45.36,27.5,351,144.20835,1009,2.6,10,0.7
2020,3,1,17,63.43,23.5,126,52.60374,1009,2.6,32,0.7
2020,3,1,18,66.03,22,0,0,1009,2.6,48,0.7
2020,3,1,19,65.97,21.7,0,0,1008,2.6,56,0.7
2020,3,1,20,65.25,21.7,0,0,1008,2.6,54,0.7
2020,3,1,21,64.29,21.5,0,0,1008,2.6,46,0.7
2020,3,1,22,66.47,20.7,0,0,1008,2.5,39,0.7
2020,3,1,23,70.65,19.6,0,0,1008,2.6,35,0.7
2020,3,2,0,73.07,18.9,0,0,1009,2.6,31,0.6
2020,3,2,1,74.94,18.3,0,0,1010,2.6,25,0.6
2020,3,2,2,75.55,18,0,0,1011,2.6,60,0.2
2020,3,2,3,76.68,17.6,0,0,1011,2.6,187,0.5
2020,3,2,4,77.75,17.2,0,0,1011,2.7,208,0.7
2020,3,2,5,77.29,17.1,0,0,1009,2.7,227,0.9
2020,3,2,6,78.33,17.7,0,0,1008,2.7,240,1.2
2020,3,2,7,65.99,21.3,111,46.746762,1007,2.8,248,1.3
2020,3,2,8,49.51,25.3,326,135.127652,1007,2.8,254,1.3
2020,3,2,9,40.34,28.2,536,219.592768,1006,2.8,259,1.2
2020,3,2,10,36.6,29.5,703,286.49359,1006,2.8,263,0.8
2020,3,2,11,34.42,30.4,812,329.701232,1007,2.9,272,0.6
2020,3,2,12,33.54,30.8,760,308.08272,1007,3,286,0.7
2020,3,2,13,34.2,30.6,728,295.352512,1008,3,305,0.7
2020,3,2,14,35.14,30.2,689,279.987552,1008,3,324,0.7
2020,3,2,15,38.27,29.1,522,213.077268,1008,2.9,341,0.6
2020,3,2,16,49.22,27,315,129.6792,1008,2.9,355,0.6
2020,3,2,17,65.61,23.7,102,42.550116,1008,3,2,0.6
2020,3,2,18,67.86,22.7,0,0,1008,3,5,0.6
2020,3,2,19,67.81,22.5,0,0,1007,3.1,2,0.6
2020,3,2,20,66.11,22.4,0,0,1007,3.2,5,0.6
2020,3,2,21,65.29,22.1,0,0,1007,3.2,14,0.6
2020,3,2,22,66.08,21.6,0,0,1007,3.1,31,0.6
2020,3,2,23,67.23,21.1,0,0,1008,3,44,0.6
2020,3,3,0,68.65,20.6,0,0,1009,2.9,51,0.5
2020,3,3,1,69.51,20.3,0,0,1010,2.8,43,0.5
2020,3,3,2,70.86,19.9,0,0,1011,2.7,43,0.1
2020,3,3,3,71.98,19.6,0,0,1011,2.7,225,0.4
2020,3,3,4,74.58,18.9,0,0,1010,2.7,229,0.7
2020,3,3,5,77.09,18.2,0,0,1009,2.6,233,0.9
2020,3,3,6,80.06,18.3,0,0,1008,2.5,237,1
2020,3,3,7,67.97,21.3,91,38.323922,1007,2.5,241,1.1
2020,3,3,8,52.65,24.7,300,124.6494,1006,2.4,247,1.2
2020,3,3,9,44.65,27.1,482,198.349748,1006,2.4,253,1.1
2020,3,3,10,40.85,28.4,644,263.625264,1006,2.4,261,0.8
2020,3,3,11,38.6,29.2,751,306.429028,1007,2.3,278,0.5
2020,3,3,12,37.41,29.6,676,275.378064,1007,2.3,299,0.7
2020,3,3,13,37.19,29.6,645,262.74978,1008,2.2,321,0.8
2020,3,3,14,37.71,29.3,670,273.26754,1009,2.2,341,0.8
2020,3,3,15,40.17,28.3,514,210.494308,1009,2.2,0,0.7
2020,3,3,16,49.58,26.4,317,130.818292,1009,2.2,14,0.7
2020,3,3,17,67.63,22.7,89,37.274802,1009,2.2,22,0.8
2020,3,3,18,71.62,21.1,0,0,1009,2.2,25,0.7
2020,3,3,19,72.09,20.6,0,0,1009,2.2,28,0.7
2020,3,3,20,71.52,20.2,0,0,1008,2.2,30,0.7
2020,3,3,21,71.26,19.8,0,0,1008,2.1,28,0.7
2020,3,3,22,72.87,19.2,0,0,1008,2,26,0.7
2020,3,3,23,75.76,18.4,0,0,1009,2,26,0.6
2020,3,4,0,78.33,17.7,0,0,1010,2,29,0.6
2020,3,4,1,80,17.2,0,0,1011,2,34,1
2020,3,4,2,81.09,16.8,0,0,1012,2,50,0.8
2020,3,4,3,82.16,16.4,0,0,1012,2.1,78,0.3
2020,3,4,4,82.61,16.1,0,0,1012,2.2,173,0.2
2020,3,4,5,83.17,15.8,0,0,1011,2.3,193,0.4
2020,3,4,6,80.57,16.7,0,0,1009,2.4,198,0.5
2020,3,4,7,65.91,20.4,99,41.840964,1008,2.5,207,0.6
2020,3,4,8,48.88,24.6,327,135.922128,1007,2.6,220,0.7
2020,3,4,9,38.67,27.8,530,217.48656,1007,2.7,237,0.7
2020,3,4,10,35.03,29.2,690,281.53932,1007,2.8,253,0.6
2020,3,4,11,32.62,30,788,320.4796,1007,2.8,275,0.6
2020,3,4,12,32.04,30.3,827,335.929054,1008,2.9,295,0.8
2020,3,4,13,32.74,30.1,779,316.689986,1009,3,314,0.8
2020,3,4,14,34.58,29.5,668,272.23004,1009,3,333,0.9
2020,3,4,15,38.25,28.7,505,206.47329,1010,3.1,348,0.9
2020,3,4,16,50.14,26.6,304,125.352576,1010,3.1,359,0.8
2020,3,4,17,68.61,23.1,100,41.8154,1010,3.2,6,0.8
2020,3,4,18,70.61,21.6,0,0,1009,3.2,10,0.8
2020,3,4,19,71.08,21.1,0,0,1009,3.2,13,0.7
2020,3,4,20,70.54,20.8,0,0,1009,3.2,17,0.7
2020,3,4,21,71.51,20.3,0,0,1008,3.2,20,0.7
2020,3,4,22,73.4,19.7,0,0,1008,3.2,23,0.7
2020,3,4,23,74.73,19.2,0,0,1009,3.2,27,0.7
2020,3,5,0,76.16,18.7,0,0,1010,3.2,32,0.7
2020,3,5,1,77.51,18.3,0,0,1011,3.2,40,0.9
2020,3,5,2,78.81,18,0,0,1011,3.2,56,0.8
2020,3,5,3,80.18,17.6,0,0,1011,3.2,104,0.5
2020,3,5,4,81.47,17.2,0,0,1011,3.2,173,0.5
2020,3,5,5,82.88,16.8,0,0,1010,3.1,207,0.6
2020,3,5,6,83.21,17.5,0,0,1008,3.1,223,0.8
2020,3,5,7,79.47,20.1,7,2.961938,1007,3.1,233,0.8
2020,3,5,8,67.41,22.5,309,129.51735,1006,3,239,0.9
2020,3,5,9,46.63,26.8,348,143.380176,1006,3.1,245,0.8
2020,3,5,10,40.66,28.9,622,254.103172,1006,3.1,251,0.6
2020,3,5,11,39.97,29.6,636,259.083504,1007,3.2,268,0.5
2020,3,5,12,40.17,29.8,735,299.16852,1008,3.3,294,0.6
2020,3,5,13,40.88,29.7,786,320.057628,1009,3.4,321,0.7
2020,3,5,14,42.54,29.2,681,277.867068,1009,3.4,346,0.6
2020,3,5,15,45.73,28.3,514,210.494308,1010,3.4,360,0.6
2020,3,5,16,56.57,26.5,311,128.29061,1010,3.4,8,0.6
2020,3,5,17,73.64,23.5,102,42.58398,1010,3.3,15,0.6
2020,3,5,18,76.11,22.2,0,0,1009,3.3,20,0.6
2020,3,5,19,77.33,21.7,0,0,1009,3.2,24,0.6
2020,3,5,20,78.71,21.3,0,0,1009,3.1,27,0.6
2020,3,5,21,79.02,21,0,0,1008,3.1,27,0.5
2020,3,5,22,79.12,20.7,0,0,1009,3.1,26,0.5
2020,3,5,23,80.08,20.3,0,0,1009,3.1,27,0.5
2020,3,6,0,80.36,20,0,0,1010,3.2,33,0.4
2020,3,6,1,82.23,19.4,0,0,1011,3.2,52,0.4
2020,3,6,2,83.94,18.8,0,0,1012,3.3,129,0.2
2020,3,6,3,85.21,18.3,0,0,1012,3.3,178,0.4
2020,3,6,4,86.09,17.9,0,0,1012,3.3,201,0.5
2020,3,6,5,86.85,17.5,0,0,1011,3.2,217,0.7
2020,3,6,6,87.72,18.3,0,0,1010,3.2,230,0.8
2020,3,6,7,83.28,21,82,34.57448,1009,3.2,239,0.9
2020,3,6,8,69.94,23.5,132,55.10868,1009,3.3,244,1
2020,3,6,9,54.44,26.3,435,179.58627,1009,3.3,248,0.9
2020,3,6,10,48.95,27.8,595,244.15944,1009,3.4,254,0.7
2020,3,6,11,46.51,28.6,738,301.859712,1009,3.4,270,0.4
2020,3,6,12,45.65,28.9,746,304.760396,1010,3.4,294,0.5
2020,3,6,13,46.39,28.7,778,318.091524,1011,3.3,317,0.6
2020,3,6,14,48.35,28.2,602,246.632176,1012,3.2,335,0.6
2020,3,6,15,52.48,27.2,400,164.5392,1012,3.1,350,0.6
2020,3,6,16,62.46,25.6,213,88.182852,1012,3.1,3,0.6
2020,3,6,17,77.83,22.9,8,3.347888,1012,3.1,13,0.6
2020,3,6,18,81.99,21.6,0,0,1012,3.1,21,0.5
