YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,5,1,0,85.92,27.2,0,0,1008,4.4,35,0.3
2020,5,1,1,86.87,27,0,0,1009,4.4,160,0.3
2020,5,1,2,86.04,27,0,0,1009,4.4,172,0.5
2020,5,1,3,88.53,26.6,0,0,1009,4.5,182,0.6
2020,5,1,4,91.7,26.2,0,0,1009,4.5,193,0.7
2020,5,1,5,93.09,26.1,0,0,1008,4.5,203,0.8
2020,5,1,6,82.85,25.2,97,40.222796,1007,4.5,213,0.8
2020,5,1,7,67.37,28.6,307,125.570368,1006,4.5,224,0.9
2020,5,1,8,58.04,31.1,473,191.505402,1005,4.5,234,0.8
2020,5,1,9,52.3,31.8,653,263.623936,1005,4.4,244,0.7
2020,5,1,10,49.15,31.9,723,291.763758,1004,4.4,253,0.6
2020,5,1,11,48.42,32.1,635,256.04089,1004,4.4,266,0.4
2020,5,1,12,48.32,32.2,869,350.248712,1005,4.4,281,0.4
2020,5,1,13,49.67,31.9,822,331.714812,1005,4.5,300,0.5
2020,5,1,14,51.95,31.4,692,279.828192,1006,4.5,320,0.6
2020,5,1,15,54.81,30.9,567,229.751802,1007,4.7,335,0.6
2020,5,1,16,60.52,30,365,148.4455,1007,4.8,346,0.6
2020,5,1,17,70.16,28.6,200,81.8048,1007,4.9,355,0.6
2020,5,1,18,80.49,26.3,19,7.843998,1006,5,4,0.6
2020,5,1,19,83.36,25.3,0,0,1006,5.1,14,0.6
2020,5,1,20,84.95,24.7,0,0,1006,5.1,26,0.5
2020,5,1,21,84.05,24.5,0,0,1006,5.1,38,0.5
2020,5,1,22,82.94,24.4,0,0,1006,5.1,44,0.5
2020,5,1,23,84.55,24,0,0,1006,5.1,42,0.5
2020,5,2,0,85.53,23.7,0,0,1007,5.2,40,0.6
2020,5,2,1,86.83,23.4,0,0,1007,5.2,40,0.7
2020,5,2,2,88.36,23.1,0,0,1008,5.2,59,0.4
