YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,11,1,0,90.71,18.2,0,0,1009,6,47,0.3
2020,11,1,1,93.79,17.4,0,0,1009,6,58,0.5
2020,11,1,2,96.64,16.7,0,0,1010,6.1,83,0.4
2020,11,1,3,97.54,16.3,0,0,1010,6.1,130,0.4
2020,11,1,4,97.41,16,0,0,1010,6.2,180,0.4
2020,11,1,5,97.12,15.7,0,0,1009,6.2,219,0.6
2020,11,1,6,93.73,24,0,0,1008,6.3,230,0.7
2020,11,1,7,92.27,25.1,81,33.601554,1007,6.3,232,0.9
2020,11,1,8,84.59,27.3,123,50.575386,1007,6.3,232,1
2020,11,1,9,69.21,30.5,292,118.51404,1007,6.3,233,0.8
2020,11,1,10,64.93,31,487,197.25448,1007,6.3,236,0.7
2020,11,1,11,65.58,30.7,623,252.650174,1008,6.3,241,0.4
2020,11,1,12,67.86,30.5,750,304.4025,1008,6.3,249,0.3
2020,11,1,13,71.05,30,684,278.1828,1009,6.2,259,0.3
2020,11,1,14,74.77,29.5,489,199.28217,1009,6.2,267,0.3
2020,11,1,15,81.14,28.6,287,117.389888,1009,6.2,269,0.3
2020,11,1,16,85.9,27.5,169,69.43365,1009,6.2,267,0.3
2020,11,1,17,92.02,26.2,9,3.717072,1009,6.2,268,0.3
2020,11,1,18,93.81,25.7,0,0,1009,6.2,268,0.3
2020,11,1,19,93.36,25.5,0,0,1009,6.2,283,0.2
2020,11,1,20,93.19,25.2,0,0,1008,6.2,344,0.1
2020,11,1,21,92.34,25.1,0,0,1008,6.1,31,0.2
2020,11,1,22,92.98,24.8,0,0,1008,6,71,0.2
2020,11,1,23,93.12,24.6,0,0,1009,6,93,0.3
2020,11,2,0,92.73,24.5,0,0,1010,5.9,103,0.3
2020,11,2,1,91.84,24.5,0,0,1010,5.9,123,0.3
2020,11,2,2,91.63,24.4,0,0,1011,5.8,171,0.4
2020,11,2,3,91.49,24.3,0,0,1011,5.7,204,0.6
2020,11,2,4,91.83,24.1,0,0,1011,5.7,225,0.8
2020,11,2,5,92.2,23.9,0,0,1010,5.7,227,0.9
2020,11,2,6,92.98,24,0,0,1009,5.6,226,1
2020,11,2,7,93,25.9,117,48.380202,1008,5.6,226,1.1
2020,11,2,8,81.3,28.6,363,148.475712,1008,5.6,227,1.1
2020,11,2,9,73.13,29.9,546,222.148836,1007,5.5,226,1
2020,11,2,10,69.74,29.5,557,226.99421,1007,5.5,226,0.7
2020,11,2,11,67.91,29.9,374,152.167884,1008,5.5,225,0.4
2020,11,2,12,67.68,30.1,760,308.96584,1009,5.4,226,0.4
2020,11,2,13,68.1,30.1,625,254.08375,1009,5.4,225,0.4
2020,11,2,14,70.36,29.7,565,230.06687,1010,5.4,221,0.5
2020,11,2,15,74.76,29,335,136.8006,1010,5.3,219,0.5
2020,11,2,16,82.81,28,182,74.62364,1010,5.3,221,0.5
2020,11,2,17,91.3,26.5,12,4.95012,1010,5.2,225,0.4
2020,11,2,18,92.83,25.9,0,0,1010,5.1,230,0.3
2020,11,2,19,92.37,25.7,0,0,1009,5.1,229,0.3
2020,11,2,20,92.32,25.5,0,0,1009,5.1,219,0.3
2020,11,2,21,92.52,25.3,0,0,1009,5.1,210,0.3
2020,11,2,22,92.91,25.1,0,0,1009,5,196,0.3
2020,11,2,23,92.86,25,0,0,1009,5,191,0.4
2020,11,3,0,92.78,24.9,0,0,1010,5,195,0.4
2020,11,3,1,93.26,24.7,0,0,1011,5,206,0.5
2020,11,3,2,93.33,24.6,0,0,1012,4.9,221,0.7
2020,11,3,3,93.43,24.5,0,0,1012,4.9,223,0.8
2020,11,3,4,93.82,24.3,0,0,1011,4.9,225,0.8
2020,11,3,5,94.08,24.1,0,0,1010,5,230,0.9
2020,11,3,6,94.64,24.1,0,0,1009,5,236,0.9
2020,11,3,7,92.26,25.7,68,28.140984,1008,5.1,238,0.9
2020,11,3,8,84.14,28.2,214,87.673232,1008,5.2,238,0.9
2020,11,3,9,76.04,28.7,541,221.192178,1007,5.2,238,0.8
2020,11,3,10,72.01,29.5,112,45.64336,1007,5.1,235,0.6
2020,11,3,11,68.58,30.2,748,303.963264,1007,5.1,237,0.4
2020,11,3,12,67.79,30.5,232,94.16184,1008,5.1,245,0.5
2020,11,3,13,69.88,30.2,684,277.955712,1008,5,256,0.5
2020,11,3,14,72.16,29.8,554,225.495728,1009,5,266,0.5
2020,11,3,15,77.41,29.3,370,150.90894,1009,4.9,271,0.4
2020,11,3,16,83.09,28.4,169,69.181164,1009,4.9,270,0.5
2020,11,3,17,91.2,26.6,9,3.711096,1009,4.9,269,0.4
2020,11,3,18,91.79,26,0,0,1009,4.9,269,0.4
2020,11,3,19,91.9,25.7,0,0,1008,4.9,269,0.4
2020,11,3,20,91.99,25.5,0,0,1008,5,265,0.5
2020,11,3,21,92.13,25.3,0,0,1008,5,256,0.4
2020,11,3,22,92.39,25.1,0,0,1008,5,237,0.4
2020,11,3,23,93.38,24.8,0,0,1009,5,214,0.4
2020,11,4,0,93.77,24.6,0,0,1009,4.9,193,0.3
2020,11,4,1,94.14,24.4,0,0,1010,4.9,207,0.3
2020,11,4,2,94.11,24.3,0,0,1010,4.9,230,0.5
2020,11,4,3,94.22,24.2,0,0,1010,4.9,246,0.6
2020,11,4,4,94.28,24.1,0,0,1010,5.1,257,0.7
2020,11,4,5,93.73,24.2,0,0,1009,5.3,255,0.8
2020,11,4,6,93.75,24.3,0,0,1008,5.2,240,0.8
2020,11,4,7,93.4,25.7,67,27.727146,1008,5.1,226,0.9
2020,11,4,8,87.13,27.3,207,85.114674,1007,4.9,223,0.9
2020,11,4,9,79.68,28.5,194,79.38286,1007,4.6,226,0.7
2020,11,4,10,75.08,29,549,224.18964,1007,4.4,230,0.6
2020,11,4,11,72.35,29,618,252.36648,1007,4.2,236,0.4
2020,11,4,12,74.53,28.1,434,177.876636,1008,3.9,248,0.5
2020,11,4,13,75.73,28,606,248.47212,1008,3.7,263,0.5
2020,11,4,14,75.51,28,484,198.44968,1009,3.6,282,0.5
2020,11,4,15,77.7,27.6,269,110.473996,1009,3.5,301,0.5
2020,11,4,16,83.16,26.8,125,51.5015,1009,3.4,315,0.5
2020,11,4,17,90,25.1,0,0,1009,3.3,326,0.5
2020,11,4,18,89.73,24.4,0,0,1009,3.2,336,0.5
2020,11,4,19,88.67,24,0,0,1009,3.1,346,0.5
2020,11,4,20,87.9,23.6,0,0,1008,3,1,0.4
2020,11,4,21,87.91,23.1,0,0,1008,2.9,32,0.3
2020,11,4,22,88.03,22.6,0,0,1009,2.9,85,0.4
2020,11,4,23,87.65,22.2,0,0,1009,2.8,99,0.5
2020,11,5,0,86.65,21.9,0,0,1010,2.8,98,0.5
2020,11,5,1,84.33,21.8,0,0,1011,2.7,84,0.3
2020,11,5,2,82.19,21.7,0,0,1012,2.8,121,0.2
2020,11,5,3,80.75,21.6,0,0,1013,2.8,230,0.3
2020,11,5,4,83.73,20.9,0,0,1013,2.8,239,0.6
2020,11,5,5,86.34,20.3,0,0,1012,2.8,241,0.7
2020,11,5,6,87.53,20.2,0,0,1011,2.8,241,0.8
2020,11,5,7,87.63,21.9,110,46.21606,1010,2.8,239,0.8
2020,11,5,8,71.78,24.8,298,123.768936,1009,2.7,237,0.7
2020,11,5,9,56.48,27.3,491,201.890362,1009,2.6,242,0.6
2020,11,5,10,54.65,27.7,624,256.163232,1009,2.5,248,0.5
2020,11,5,11,53.79,28.3,695,284.61779,1009,2.3,264,0.6
2020,11,5,12,53.14,28.8,713,291.397396,1010,2.2,286,0.7
2020,11,5,13,53.89,28.8,647,264.423724,1011,2.1,307,0.8
2020,11,5,14,57.03,28.5,521,213.18799,1012,2.1,325,0.8
2020,11,5,15,58.16,28.9,346,141.349996,1012,2,340,0.8
2020,11,5,16,67.22,27,150,61.752,1012,2,356,0.7
2020,11,5,17,75.34,24.7,0,0,1012,1.9,12,0.8
2020,11,5,18,73.15,23.9,0,0,1012,1.9,25,0.8
2020,11,5,19,73.99,23.1,0,0,1012,1.9,33,0.8
2020,11,5,20,74.33,22.5,0,0,1012,1.9,37,0.8
2020,11,5,21,73.44,22.1,0,0,1012,1.9,39,0.8
2020,11,5,22,73.2,21.7,0,0,1012,1.9,37,0.8
2020,11,5,23,75.62,21,0,0,1012,1.9,33,0.8
2020,11,6,0,79.69,20.1,0,0,1013,1.9,28,0.7
2020,11,6,1,82.69,19.4,0,0,1014,2,27,0.7
2020,11,6,2,84.57,18.9,0,0,1014,2,37,0.9
2020,11,6,3,85.46,18.6,0,0,1015,2.1,53,0.7
2020,11,6,4,86.39,18.3,0,0,1014,2.1,58,0.5
2020,11,6,5,87.07,18.1,0,0,1013,2.2,59,0.4
2020,11,6,6,87.56,18.2,0,0,1012,2.2,68,0.2
2020,11,6,7,84.65,20.6,142,59.967168,1011,2.2,106,0.1
2020,11,6,8,71.98,23.5,346,144.45154,1010,2.2,169,0.1
2020,11,6,9,62.62,26,530,219.0702,1010,2.2,211,0.2
