YEAR,Month,Day,Hour,Relative Humidity,Temperature,GHI,POWER,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,10,1,0,89.5,21.7,0,0,1001,6.9,156,0.2
2020,10,1,1,90.14,21.4,0,0,1002,6.9,215,0.2
2020,10,1,2,90.82,21.2,0,0,1003,6.9,217,0.3
2020,10,1,3,92.39,20.9,0,0,1003,6.9,216,0.5
2020,10,1,4,93.7,20.5,0,0,1003,6.9,218,0.7
2020,10,1,5,94.94,20,0,0,1002,7,223,0.8
2020,10,1,6,93.4,26.5,23,9.48773,1002,7,228,0.8
2020,10,1,7,89.61,28.3,214,87.637708,1001,7,231,0.9
2020,10,1,8,80.26,30.5,393,159.50691,1000,7,232,0.9
2020,10,1,9,74.05,30.8,551,223.359972,999,6.9,231,0.8
2020,10,1,10,73.02,31,606,245.45424,999,6.9,235,0.6
2020,10,1,11,71.13,31.5,734,296.69014,1000,6.9,240,0.4
2020,10,1,12,70.04,31.8,863,348.403456,1000,6.9,246,0.4
2020,10,1,13,71.78,31.5,802,324.17642,1001,6.9,253,0.4
2020,10,1,14,74.96,31,675,273.402,1001,7,254,0.4
2020,10,1,15,81.41,30.5,495,200.90565,1002,7.2,242,0.3
2020,10,1,16,85.01,30,282,114.6894,1002,7.3,238,0.4
2020,10,1,17,90.32,28.8,73,29.834516,1002,7.3,252,0.4
2020,10,1,18,92.12,28.1,0,0,1002,7.2,263,0.3
2020,10,1,19,92.47,27.8,0,0,1001,7.2,259,0.3
2020,10,1,20,92.95,27.5,0,0,1001,7.2,256,0.3
2020,10,1,21,93.69,27.2,0,0,1001,7.2,259,0.3
2020,10,1,22,94.46,26.9,0,0,1001,7.1,255,0.3
2020,10,1,23,94.65,26.8,0,0,1002,7.1,244,0.3
2020,10,2,0,95.23,26.6,0,0,1002,7,236,0.3
2020,10,2,1,95.28,26.5,0,0,1003,7,239,0.6
2020,10,2,2,95.5,26.4,0,0,1004,6.9,249,0.8
2020,10,2,3,95.47,26.3,0,0,1004,6.9,244,0.8
2020,10,2,4,95.9,26.1,0,0,1004,6.9,232,0.8
2020,10,2,5,96.01,26,0,0,1004,6.8,223,0.9
2020,10,2,6,95.54,26.3,4,1.651368,1003,6.8,216,0.9
2020,10,2,7,94.69,27,10,4.1168,1003,6.8,210,0.9
2020,10,2,8,92.87,28,23,9.43046,1002,6.7,206,0.8
2020,10,2,9,89.27,28.8,39,15.938988,1001,6.6,206,0.6
2020,10,2,10,86.83,29.2,60,24.48168,1001,6.6,214,0.6
2020,10,2,11,83.48,29.7,218,88.769164,1002,6.5,220,0.4
2020,10,2,12,78.66,30.4,419,170.129084,1002,6.5,232,0.4
2020,10,2,13,77.73,30.1,807,328.072938,1003,6.5,246,0.3
2020,10,2,14,76.9,30.4,574,233.064664,1003,6.5,255,0.3
2020,10,2,15,78.93,30.4,486,197.333496,1004,6.6,244,0.3
2020,10,2,16,80.45,30.3,285,115.76757,1004,6.7,226,0.3
2020,10,2,17,85.04,29,74,30.21864,1004,6.8,217,0.3
2020,10,2,18,84.24,28.4,0,0,1003,6.9,214,0.3
2020,10,2,19,84.24,28.1,0,0,1003,7,227,0.3
2020,10,2,20,87.58,27.6,0,0,1003,7.1,233,0.3
2020,10,2,21,89.46,27.1,0,0,1002,7.1,240,0.3
2020,10,2,22,91.05,26.7,0,0,1002,7.1,247,0.3
2020,10,2,23,92.23,26.4,0,0,1003,7.1,247,0.4
2020,10,3,0,93.45,26.1,0,0,1003,7.1,245,0.4
2020,10,3,1,93.88,26,0,0,1004,7.1,235,0.6
2020,10,3,2,94.34,25.9,0,0,1005,7.1,233,0.8
2020,10,3,3,93.97,25.9,0,0,1005,7.1,231,1
2020,10,3,4,94.38,25.8,0,0,1005,7,227,1
2020,10,3,5,94.96,25.7,0,0,1005,7,225,1
2020,10,3,6,95.71,26.1,4,1.652696,1004,7,223,1.1
2020,10,3,7,94.66,27.4,10,4.11016,1003,7,220,1.1
2020,10,3,8,91.32,28.7,25,10.22145,1003,6.9,219,1.1
2020,10,3,9,82.84,29.5,175,71.31775,1002,6.8,219,1
