Month,RMSE,MAE
Jan,9.621379716718822,5.233436475334424
Feb,11.242014704377866,6.379763190460885
March,15.086170764810644,8.098830529939333
April,12.24278391720557,6.906527091208584
May,11.127245145089939,6.264668915105522
June,10.255502101002067,5.720873704528862
July,9.772924721838255,5.505556764015147
Aug,10.445549427529395,6.07704287816864
Sep,9.844812311569559,5.490951592420397
Oct,9.99785177728378,5.568718082080678
Nov,10.30274355233702,5.925267467385134
Dec,10.018054166100747,5.78337435037257
Annual,10.829752692155305,6.079584253418347
