Month,RMSE,MAE
Jan,9.155031321064923,5.305589593455435
Feb,10.388944452471742,6.339332580467075
March,13.989477624129178,7.834787887845937
April,10.874160800776272,6.517004198923776
May,10.02036615693022,6.141587114851161
June,9.634944334641323,6.260721995538713
July,9.2979608149071,6.266762920360052
Aug,9.812750510568167,6.576125910503199
Sep,9.29468343427437,6.0830467233608765
Oct,9.289097422497406,5.883445023782277
Nov,9.782665335941886,6.058043796563758
Dec,9.594144413158189,5.850960294709469
Annual,10.094518885113398,6.259784003363477
