Month,RMSE,MAE
Jan,10.85570169244854,6.083044536736169
Feb,12.661752212500016,7.380056951813743
March,16.475356009265912,9.201335330596695
April,13.840218588258617,7.951060185535464
May,12.538461262422864,7.240116535593604
June,11.407644626970566,6.510834388890481
July,10.89682274998609,6.233811808614404
Aug,11.713470455679468,6.938005669783848
Sep,10.953631745993198,6.211380006824189
Oct,11.279558614584865,6.365361816933176
Nov,11.562435226574294,6.726475925224256
Dec,11.285107626796352,6.654624279342679
Annual,12.122513400956732,6.958008952990725
